iter	Passed	Remaining
407	5581	1258
408	5595	1244
409	5608	1231
410	5621	1217
411	5634	1203
412	5647	1189
413	5660	1175
414	5673	1162
415	5687	1148
416	5700	1134
417	5713	1120
418	5727	1107
419	5739	1093
420	5753	1079
421	5767	1065
422	5780	1052
423	5794	1038
424	5808	1025
425	5823	1011
426	5838	998
427	5851	984
428	5866	970
429	5880	957
430	5893	943
431	5906	929
432	5920	916
433	5933	902
434	5947	888
435	5960	874
436	5974	861
437	5987	847
438	6000	833
439	6014	820
440	6028	806
441	6042	792
442	6056	779
443	6069	765
444	6082	751
445	6096	738
446	6109	724
447	6122	710
448	6136	697
449	6150	683
450	6163	669
451	6177	655
452	6190	642
453	6203	628
454	6217	614
455	6230	601
456	6244	587
457	6257	573
458	6271	560
459	6286	546
460	6300	532
461	6314	519
462	6328	505
463	6343	492
464	6358	478
465	6371	464
466	6384	451
467	6397	437
468	6411	423
469	6424	410
470	6437	396
471	6450	382
472	6463	368
473	6477	355
474	6490	341
475	6504	327
476	6518	314
477	6531	300
478	6545	286
479	6558	273
480	6572	259
481	6586	245
482	6599	232
483	6613	218
484	6626	204
485	6639	191
486	6653	177
487	6666	163
488	6679	150
489	6693	136
490	6705	122
491	6718	109
492	6732	95
493	6747	81
494	6761	68
495	6776	54
496	6790	40
497	6804	27
498	6818	13
499	6831	0
