iter	Logloss
0	0.6892828532
1	0.6856774944
2	0.6824557765
3	0.679189049
4	0.6763736606
5	0.6733964533
6	0.6706598561
7	0.6679667461
8	0.6658497731
9	0.663380474
10	0.6611511149
11	0.6590131474
12	0.6569371084
13	0.6550413497
14	0.6531739202
15	0.651545838
16	0.6498785735
17	0.6482770004
18	0.6469030794
19	0.6454177407
20	0.6441541398
21	0.6429201495
22	0.6418149497
23	0.6409421847
24	0.6399689034
25	0.6389256866
26	0.637994229
27	0.637049438
28	0.6362520435
29	0.6354683662
30	0.6346038597
31	0.633810642
32	0.6330605972
33	0.6323198884
34	0.6315963364
35	0.6309189079
36	0.6303314733
37	0.6297579186
38	0.6291211699
39	0.6284660547
40	0.6279117511
41	0.6274500255
42	0.6269845325
43	0.626505254
44	0.626042403
45	0.6255513801
46	0.6251165137
47	0.6247407689
48	0.6243548771
49	0.623969739
50	0.623546392
51	0.6231029983
52	0.622763628
53	0.6224216845
54	0.6220776868
55	0.6217050341
56	0.6214267991
57	0.621145708
58	0.6208997247
59	0.6206434116
60	0.6203633077
61	0.6201191957
62	0.619882723
63	0.6195948081
64	0.6193114492
65	0.619024497
66	0.6187860768
67	0.6185195802
68	0.6182586352
69	0.6180223317
70	0.6177961538
71	0.6175801217
72	0.6173934278
73	0.6171992264
74	0.6170138301
75	0.616766604
76	0.6165793686
77	0.6164030556
78	0.6162478938
79	0.6160853898
80	0.6158938753
81	0.61574415
82	0.6155768477
83	0.615363621
84	0.6151970014
85	0.6150248831
86	0.6148557065
87	0.6146561422
88	0.6145000142
89	0.6143428773
90	0.6141952858
91	0.6140745162
92	0.6139667692
93	0.6137838336
94	0.6136988726
95	0.6135298862
96	0.6133751813
97	0.6132317051
98	0.613066034
99	0.6129667814
100	0.6128389074
101	0.6126955206
102	0.6125600751
103	0.6124399494
104	0.6123167126
105	0.6121927277
106	0.6120562934
107	0.6119486591
108	0.6118488548
109	0.6117646549
110	0.6116437422
111	0.6115168679
112	0.6114227748
113	0.61133476
114	0.6112476305
115	0.6111190101
116	0.6110246082
117	0.6109232631
118	0.6108262856
119	0.6107178729
120	0.610636793
121	0.6105269474
122	0.6104303618
123	0.6103281385
124	0.610211096
125	0.610117942
126	0.6100194765
127	0.609911007
128	0.609821942
129	0.6097293807
130	0.6096411514
131	0.6095512228
132	0.6094581841
133	0.6093690078
134	0.6092836319
135	0.6092104156
136	0.6091337333
137	0.6090267162
138	0.6089393218
139	0.6088692667
140	0.6087798776
141	0.6086778233
142	0.6086020689
143	0.6085026576
144	0.6084032972
145	0.6083202749
146	0.6082734117
147	0.608196045
148	0.6081276593
149	0.6080525393
150	0.6079592602
151	0.6078842654
152	0.6078058459
153	0.6077364677
154	0.6076484627
155	0.6075496276
156	0.6074749027
157	0.6073962807
158	0.6073326809
159	0.6072592104
160	0.6072083402
161	0.6071498383
162	0.6070733921
163	0.6070068494
164	0.6069390001
165	0.6068662703
166	0.6067878096
167	0.6066957189
168	0.6066403384
169	0.6065647767
170	0.6065069256
171	0.6064379002
172	0.6063823587
173	0.6062884143
174	0.6062047249
175	0.6061450667
176	0.6060762623
177	0.6060145233
178	0.6059376754
179	0.605874651
180	0.605805201
181	0.6057485918
182	0.6056807261
183	0.6056103056
184	0.6055425591
185	0.605457543
186	0.6053904238
187	0.6053041539
188	0.6052419696
189	0.6051868892
190	0.6051324068
191	0.6050478144
192	0.6049776249
193	0.6048827586
194	0.6048095315
195	0.6047613163
196	0.604701235
197	0.6046535113
198	0.6045829714
199	0.6045268806
200	0.6044593123
201	0.604397341
202	0.604344526
203	0.6042958224
204	0.6042461596
205	0.6041899882
206	0.6041099824
207	0.6040643918
208	0.604008877
209	0.6039468906
210	0.6038777665
211	0.603823747
212	0.6037851848
213	0.6037235681
214	0.6036693165
215	0.6036115095
216	0.6035361324
217	0.6034786971
218	0.6034310843
219	0.603370073
220	0.6033021757
221	0.6032436131
222	0.6031979921
223	0.6031504689
224	0.6031114074
225	0.6030469922
226	0.6029960521
227	0.6029307478
228	0.602862318
229	0.6028209471
230	0.6027863682
231	0.6027398701
232	0.6026947688
233	0.6026322834
234	0.6025937178
235	0.6025489097
236	0.6024998623
237	0.6024703035
238	0.6024190674
239	0.6023658075
240	0.6023041486
241	0.6022467107
242	0.6022030186
243	0.6021616841
244	0.6021282945
245	0.6020867331
246	0.6020263536
247	0.6019710135
248	0.6019375047
249	0.6018698798
250	0.6018023897
251	0.6017615044
252	0.6017108091
253	0.6016721914
254	0.6016258104
255	0.6015771388
256	0.6015302761
257	0.6014708471
258	0.6014346215
259	0.6013878603
260	0.6013482796
261	0.6013035486
262	0.6012482039
263	0.6011865403
264	0.6011401018
265	0.6010963892
266	0.6010552775
267	0.6010024531
268	0.6009518921
269	0.6008951433
270	0.6008440249
271	0.6007910793
272	0.6007339123
273	0.60068161
274	0.6006287398
275	0.6005832505
276	0.6005435985
277	0.600501677
278	0.6004515849
279	0.6003944402
280	0.6003449372
281	0.6002957166
282	0.600277811
283	0.6002359099
284	0.6001734477
285	0.6001441703
286	0.6001036039
287	0.6000498026
288	0.6000172663
289	0.5999620172
290	0.5999319634
291	0.5998948228
292	0.5998619636
293	0.5997960002
294	0.5997441908
295	0.5997007014
296	0.5996420241
297	0.599581232
298	0.5995177169
299	0.5994686263
300	0.5994116235
301	0.5993465682
302	0.5992917931
303	0.599238885
304	0.5991910718
305	0.5991673413
306	0.5991219143
307	0.5990635216
308	0.5990322805
309	0.5989867258
310	0.5989402935
311	0.598890421
312	0.5988392167
313	0.5987876049
314	0.598734902
315	0.5987005972
316	0.5986622767
317	0.5986168834
318	0.5985566962
319	0.598496527
320	0.5984581617
321	0.5984076757
322	0.5983733779
323	0.5983185853
324	0.5982589572
325	0.5982241076
326	0.5981722563
327	0.5981157187
328	0.5980638891
329	0.5980096021
330	0.5979682509
331	0.5979298033
332	0.5978693712
333	0.5978159868
334	0.5977618288
335	0.5977159651
336	0.5976839077
337	0.5976464865
338	0.597582159
339	0.5975211904
340	0.5974757959
341	0.597425325
342	0.5973728961
343	0.5973258819
344	0.5972789888
345	0.5972187097
346	0.5971372168
347	0.5970876986
348	0.5970462118
349	0.5969914558
350	0.5969479162
351	0.5968900885
352	0.5968383314
353	0.5967969686
354	0.5967345836
355	0.5966811578
356	0.5966375038
357	0.5965892845
358	0.5965372232
359	0.5964904681
360	0.5964494119
361	0.5963858293
362	0.5963259542
363	0.5962690445
364	0.5962244289
365	0.5961732598
366	0.5961249375
367	0.5960921239
368	0.5960404125
369	0.5959811412
370	0.5959402633
371	0.5958962534
372	0.5958535828
373	0.5958079812
374	0.5957513902
375	0.5956954047
376	0.5956261539
377	0.5955841982
378	0.5955377457
379	0.5954965699
380	0.5954604694
381	0.5954052961
382	0.5953390646
383	0.5952892242
384	0.5952428298
385	0.5951889927
386	0.5951369568
387	0.5950701901
388	0.5950223027
389	0.5949694799
390	0.5949276521
391	0.5948695985
392	0.5948294611
393	0.5947743812
394	0.5947145593
395	0.594670763
396	0.5946110563
397	0.5945539903
398	0.5945155679
399	0.5944836719
400	0.594415385
401	0.5943676209
402	0.5943192753
403	0.594269864
404	0.5942331457
405	0.5941676388
406	0.5941115246
407	0.5940456784
408	0.5939824633
409	0.5939251059
410	0.5938759967
411	0.5938280795
412	0.5937691852
413	0.5937252162
414	0.5936746803
415	0.59362058
416	0.5935595939
417	0.593511794
418	0.5934760724
419	0.5934207539
420	0.5933767498
421	0.5933168568
422	0.5932462679
423	0.5931921655
424	0.5931432152
425	0.593094401
426	0.5930320588
427	0.5929706975
428	0.5928901834
429	0.592826051
430	0.5927512632
431	0.5927028021
432	0.5926539538
433	0.5925997745
434	0.5925451326
435	0.5924991598
436	0.5924460894
437	0.5923934237
438	0.5923365834
439	0.5922596395
440	0.5922026797
441	0.5921379351
442	0.5920851652
443	0.5920276027
444	0.5919677494
445	0.5919265944
446	0.5918822117
447	0.5918273037
448	0.5917755766
449	0.5917182006
450	0.5916653795
451	0.591626246
452	0.5915814634
453	0.5915418413
454	0.5914913244
455	0.5914461764
456	0.5913917561
457	0.5913438185
458	0.5912905847
459	0.5912387311
460	0.5911822678
461	0.5911232154
462	0.5910746217
463	0.5910304894
464	0.5909564607
465	0.5908995696
466	0.5908498288
467	0.5907969182
468	0.5907451991
469	0.5906876461
470	0.590630285
471	0.5905734067
