,accuracy,roc_auc,f1_score,precision,recall
LogisticRegression,0.65605,0.707753671014684,0.6569590584949883,0.6565334396491578,0.6573852295409182
RandomForest,0.6587,0.7159745138980557,0.661945324881141,0.656999606763665,0.6669660678642715
XGBoost,0.6603,0.7212071448285794,0.6660440424695242,0.6562378922898101,0.6761477045908184
LightGBM,0.65945,0.7198975295901184,0.6658817758155506,0.654799807042933,0.6773453093812375
CatBoost,0.6627,0.7220684282737131,0.6687941869599372,0.6581948202551218,0.6797405189620759
