feature,importance
choice_set_size,0.6344109742462705
num_products_viewed,0.13965309037276843
choice_paralysis_sensitivity,0.13666521001818308
is_new_arrival,0.1270302276801523
anchoring_sensitivity,0.12647815316590322
time_spent_section_sec,0.1150117866814102
festival_season_nan,0.11221378923542048
relative_price_to_anchor,0.08468076655974037
eye_level_display,0.06699960676409637
shelf_zone_CenterHotspot,0.06653119447399343
discount_pct,0.054922341197194954
shelf_zone_BackWall,0.053659264343689145
is_featured_display,0.051123519332069975
product_category_Smartphone,0.04285717877056202
income_level_High,0.030162566243808534
income_level_Low,0.029954576908302624
shelf_zone_Entrance,0.026821495285487777
festival_season_OtherFest,0.024557694243072997
novelty_preference,0.018520355849322934
festival_season_Dashain,0.017299633229808535
product_category_TV,0.013868133472248101
transaction_id,0.011348667777299726
festival_season_Tihar,0.011114434596616405
shelf_zone_SideAisle,0.0067401781776916915
customer_id,0.006554166880648339
price_level,0.006484659004311081
product_category_Laptop,0.006473974393439997
age,0.006283946276447077
product_category_Gaming,0.006185989621493706
anchor_price,0.006018689080534733
product_category_Appliance,0.00588397370455516
festival_season_NewYear,0.005453310361974377
payment_method_Card,0.0030546625512877803
time_of_day_Afternoon,0.00246458406543317
time_of_day_Evening,0.0016541171590900203
payment_method_Khalti,0.0016246044931392217
payment_method_Cash,0.001558658063198668
payment_method_eSewa,0.001417253764282349
store_region_Chitwan,0.0014007283436781935
income_level_Middle,0.0013067457573895263
payment_method_Fonepay,0.0012165127203655434
time_of_day_Morning,0.0012063968925613215
store_region_Biratnagar,0.0009518759321654683
store_region_Kathmandu,0.0009397175863960605
brand_tier_Budget,0.0009222182190514589
brand_tier_MidRange,0.0008046119776269475
visit_day_type_Weekend,0.000740511141055692
shelf_zone_CashCounter,0.0007211953916824905
visit_day_type_Weekday,0.0007106615996396923
store_region_Pokhara,0.0005441800513789178
store_region_Butwal,0.0005261437059321942
brand_tier_Premium,0.0004640390069012209
product_category_Headphones,0.0003980150811273917
gender_Male,0.0

